"Genus","Species","Subspecies","Region","logSize","logRange","Tree_Height"
"Quercus","alba","L.","Atlantic",0.336472236621213,10.0939426092268,27
"Quercus","bicolor","Willd.","Atlantic",1.22377543162212,8.97461803845511,21
"Quercus","macrocarpa","Michx.","Atlantic",2.2082744135228,10.0449003054865,25
"Quercus","prinoides","Willd.","Atlantic",0.470003629245736,9.7434361643879,3
"Quercus","Prinus","L.","Atlantic",2.35137525716348,8.94193791425636,24
"Quercus","stellata","Wang.","Atlantic",0.916290731874155,9.90038273758265,17
"Quercus","virginiana","Mill","Atlantic",-0.105360515657826,8.98532006064911,15
"Quercus","Michauxii","Nutt.","Atlantic",1.91692261218206,9.09346942024477,0.3
"Quercus","lyrata","Walt.","Atlantic",0.587786664902119,9.10297785364768,24
"Quercus","Laceyi","Small.","Atlantic",-1.20397280432594,5.4510384535657,11
"Quercus","Chapmanii","Sarg.","Atlantic",-0.105360515657826,7.37650812632622,15
"Quercus","Durandii","Buckl.","Atlantic",-0.22314355131421,7.46450983463653,23
"Quercus","Muehlenbergii","Engelm","Atlantic",0.693147180559945,9.7434361643879,24
"Quercus","ilicifolia","Wang.","Atlantic",0.0953101798043249,8.31434234336979,3
"Quercus","incana","Bartr.","Atlantic",-0.510825623765991,8.23615566168312,13
"Quercus","falcata","Michx.","Atlantic",0.587786664902119,9.52427481557203,30
"Quercus","laevis","Walt.","Atlantic",1.56861591791385,8.28853445941392,9
"Quercus","laurifolia","Michx.","Atlantic",0.0953101798043249,8.58073121222023,27
"Quercus","marilandica","Muenchh.","Atlantic",1.28093384546206,9.82444434519567,9
"Quercus","nigra","L.","Atlantic",0.0953101798043249,9.22631214148588,24
"Quercus","palustris","Muenchh.","Atlantic",0.0953101798043249,9.06450502375264,23
"Quercus","Phellos","L.","Atlantic",1.28093384546206,9.20230820027892,27
"Quercus","rubra","L.","Atlantic",2.09186406167839,10.2537570251763,24
"Quercus","velutina","Lam.","Atlantic",1.28093384546206,9.95546311412647,23
"Quercus","imbricaria","Michx.","Atlantic",0.587786664902119,9.6071010394542,18
"Quercus","myrtifolia","Willd.","Atlantic",-0.916290731874155,7.83991936001258,9
"Quercus","texana","Buckl.","Atlantic",0.0953101798043249,6.7202201551353,9
"Quercus","coccinea","Muenchh.","Atlantic",0.182321556793955,9.10409057213347,4
"Quercus","Douglasii","Hook._and_Arn","California",1.41098697371026,6.3261494731551,18
"Quercus","dumosa","Nutt.","California",0.470003629245736,6.07073772800249,6
"Quercus","Engelmannii","Greene","California",0.693147180559945,5.55682806169954,17
"Quercus","Garryana","Hook.","California",1.70474809223843,6.96696713861398,20
"Quercus","lobata","Nee","California",1.77495235091167,6.76849321164863,30
"Quercus","agrifolia","Nee.","California",0.955511445027436,6.68835471394676,23
"Quercus","Kelloggii","Newb.","California",1.79175946922805,6.71659477352098,26
"Quercus","Wislizenii","A._DC.","California",0,6.54965074223381,21
"Quercus","chrysolepis","Liebm.","California",2.83907846350861,6.5366915975913,15
"Quercus","vaccinifolia","Engelm.","California",-0.916290731874155,5.40717177146012,1
"Quercus","tomentella","Engelm","California",1.96009478404727,2.56494935746154,18
